Emp Code,Empname,Present,Absent,Half Day,Short Present,Missed Punch,No Punch,HHD,01-07-2026,02-07-2026,03-07-2026,04-07-2026,05-07-2026,06-07-2026,07-07-2026,08-07-2026,09-07-2026,10-07-2026,11-07-2026,12-07-2026,13-07-2026,14-07-2026,15-07-2026,16-07-2026,17-07-2026,18-07-2026,19-07-2026,20-07-2026,21-07-2026,22-07-2026,23-07-2026,24-07-2026,25-07-2026,26-07-2026,27-07-2026,28-07-2026,29-07-2026,30-07-2026,31-07-2026
823,Govind kumar,18,2,0,2,5,4,0,P,P,P,SP,P,MP,MP,A,MP,P,P,P,P,P,P,NP,P,P,P,SP,NP,P,P,MP,MP,NP,P,P,P,A,NP
1048,Subodh Giri,12,3,5,6,2,1,2,HD,SP,P,HD,P,P,HD,A,P,SP,SP,P,MP,P,HHD,P,P,NP,A,SP,A,HD,P,HD,HHD,MP,SP,P,P,SP,P
1050,Suraj Mishra,20,2,3,2,2,2,0,P,HD,P,P,P,P,P,MP,P,P,P,P,A,P,HD,HD,P,P,P,P,P,P,SP,P,A,SP,NP,NP,MP,P,P
1089,Dushant Sharma,20,1,2,5,1,1,1,P,P,HD,P,SP,SP,HHD,P,P,P,A,P,P,P,P,MP,P,P,SP,SP,P,HD,P,NP,P,P,P,P,SP,P,P
1306,Farhan Ahmad,17,5,3,1,5,0,0,HD,P,P,A,P,A,A,MP,P,HD,P,A,P,P,MP,A,P,P,MP,P,P,P,P,SP,P,HD,MP,P,P,MP,P
1307,Dheeraj kumar,21,1,3,2,3,0,1,P,P,P,P,P,P,P,P,P,SP,SP,P,P,P,HHD,P,P,MP,HD,P,P,HD,P,P,MP,P,HD,P,A,MP,P
1646,Vikash Kumar Jha,25,3,0,0,3,0,0,P,P,P,P,P,P,MP,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,A,MP,P,P,P,P,P,MP,P
1696,Drigesh Kumar,14,4,3,4,3,3,0,P,A,A,HD,MP,A,P,SP,A,P,MP,P,P,P,MP,P,P,SP,NP,SP,P,NP,P,P,HD,P,P,HD,SP,NP,P
1716,Lungchin Sampar,21,1,1,2,3,2,1,P,NP,P,P,P,MP,P,P,SP,HHD,P,NP,P,P,MP,P,P,MP,P,P,HD,P,SP,P,P,P,P,P,A,P,P
1825,Anurag Kushwaha,21,2,1,2,5,0,0,P,P,MP,SP,P,P,HD,P,P,P,P,P,P,A,MP,P,MP,P,MP,P,P,P,P,MP,P,P,A,P,P,SP,P
1880,Anjali Poddar,18,3,3,3,2,1,1,P,P,P,SP,P,MP,HD,NP,P,P,A,MP,P,P,A,P,SP,A,P,P,HHD,P,HD,SP,P,P,P,P,HD,P,P
2037,Aysha Sultan,22,2,0,5,1,1,0,P,P,SP,P,P,A,P,MP,P,P,P,P,NP,A,P,P,P,P,P,SP,P,SP,P,SP,P,P,P,P,SP,P,P
2039,Azad Singh,17,3,3,1,4,2,1,P,MP,SP,NP,P,P,P,HD,A,A,P,P,P,P,HD,NP,P,P,MP,MP,P,HD,P,MP,HHD,P,A,P,P,P,P
2052,Yash Chauhan,21,2,1,1,2,1,3,P,HHD,P,P,A,HHD,P,P,P,P,NP,P,SP,MP,P,HD,P,MP,P,HHD,P,P,P,A,P,P,P,P,P,P,P
2083,Vatsa Ishaan,19,4,3,2,0,2,1,P,P,P,P,P,HHD,A,NP,P,P,P,A,A,P,HD,SP,P,P,P,P,P,P,P,NP,SP,HD,P,P,HD,A,P
2138,Rahul Panchal,20,5,2,0,0,4,0,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,HD,NP,P,P,P,A,HD,P,A,A,NP,NP,P,NP,P,P
2155,Dinesh Kumar,23,4,0,0,3,1,0,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,MP,P,A,P,P,NP,P,P,P,MP,P,P,MP,A,P,P
2163,Himani,17,2,5,4,1,1,1,P,SP,A,P,P,P,SP,HD,P,P,HHD,P,P,P,HD,A,HD,SP,P,NP,P,P,P,P,P,SP,P,MP,HD,HD,P
2260,Rohan Joshi,17,1,7,2,1,3,0,A,HD,P,HD,P,MP,HD,P,P,NP,P,NP,P,P,P,P,SP,HD,P,HD,P,NP,SP,HD,P,P,P,P,P,HD,P
2294,Deya Dhawan,21,0,1,5,2,0,2,MP,P,MP,SP,P,HHD,P,P,P,P,P,P,P,SP,P,SP,P,P,P,P,P,SP,HHD,P,P,P,SP,P,HD,P,P
2349,Sakshi,16,3,4,2,2,3,1,P,NP,P,HHD,P,NP,P,P,NP,HD,P,A,P,P,P,SP,HD,SP,P,P,MP,MP,P,P,P,P,A,HD,A,HD,P
2350,Priti Dey,16,5,0,0,6,3,1,P,P,P,P,A,NP,MP,P,P,P,MP,MP,P,P,A,P,MP,MP,P,P,P,A,P,P,NP,P,MP,HHD,NP,A,A
2360,Akash Yadav,19,3,1,2,5,1,0,P,P,MP,P,P,P,P,SP,MP,P,P,P,P,A,P,P,MP,A,A,NP,MP,MP,P,P,P,P,P,SP,HD,P,P
2375,Aditya Pandey,17,3,4,1,5,1,0,P,P,P,A,MP,A,P,P,HD,P,P,MP,P,P,P,SP,NP,HD,A,P,P,P,P,HD,P,HD,MP,P,MP,MP,P
2399,Gurnoor Singh,18,3,1,5,1,1,2,P,P,P,P,P,HHD,P,SP,SP,P,P,A,HD,NP,MP,P,P,P,HHD,P,SP,A,P,A,SP,SP,P,P,P,P,P
2400,Kartikey Pandey,16,2,3,2,6,2,0,P,P,P,P,HD,P,MP,HD,MP,SP,MP,A,P,P,MP,MP,SP,P,P,P,P,HD,NP,NP,P,P,P,MP,P,P,A
2434,Neha,21,3,2,3,1,0,1,P,P,MP,P,A,P,P,HD,SP,P,P,P,P,P,P,SP,P,P,P,HD,SP,A,P,HHD,A,P,P,P,P,P,P
NH-0005,Kabir Khan,19,3,2,3,4,0,0,A,A,P,P,HD,P,P,P,P,P,P,MP,P,P,SP,SP,P,P,MP,HD,P,P,P,P,P,MP,A,MP,P,P,SP
PD-0001,Aarav Sharma,20,5,3,1,0,2,0,A,P,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P,HD,P,P,NP,P,A,P,P,HD,SP,P,NP,P,HD
PD-0002,Vivaan Verma,18,2,1,1,5,2,2,P,HHD,P,P,MP,P,P,P,P,HHD,MP,P,A,P,NP,P,A,MP,P,P,SP,P,NP,MP,P,P,P,P,HD,P,MP
PD-0004,Vihaan Mehta,20,3,1,1,3,3,0,P,P,P,HD,NP,P,P,P,SP,A,P,NP,MP,P,MP,P,MP,P,P,A,P,P,P,P,NP,P,P,P,P,P,A
PD-0005,Arjun Nair,19,3,2,1,1,3,2,P,HHD,MP,P,P,P,A,P,NP,HD,HD,HHD,P,NP,SP,P,P,P,P,P,P,NP,P,P,A,P,P,A,P,P,P
PD-0006,Sai Reddy,18,3,4,2,2,0,2,A,P,MP,HHD,P,P,HD,P,A,P,A,P,P,HD,HD,SP,SP,HD,P,P,P,P,P,P,P,P,HHD,P,P,MP,P
PD-0007,Reyansh Iyer,16,1,6,3,1,3,1,P,HD,SP,HD,P,P,P,P,HD,P,A,NP,P,P,P,HD,HHD,HD,SP,P,MP,HD,P,P,NP,P,SP,P,P,NP,P
PD-0008,Ayaan Bose,13,5,3,4,3,1,2,P,P,SP,P,P,HHD,MP,A,P,P,NP,P,SP,P,P,A,HD,P,SP,A,P,HD,A,P,A,HHD,HD,MP,SP,P,MP
PD-0009,Krishna Verma,24,2,2,1,1,0,1,P,P,P,P,P,P,P,P,P,P,P,P,P,HHD,P,SP,P,HD,P,A,A,P,MP,P,HD,P,P,P,P,P,P
PD-0010,Ishaan Gupta,20,3,1,2,3,0,2,SP,P,P,MP,P,P,P,P,P,HHD,P,P,HD,MP,P,P,P,SP,P,HHD,P,P,A,A,P,P,A,P,P,P,MP
PD-0011,Diya Mehta,19,1,4,1,4,1,1,P,P,MP,P,P,NP,HD,HD,P,HHD,P,MP,P,P,HD,P,P,P,P,A,P,P,P,P,P,HD,P,MP,SP,MP,P
PD-0012,Aanya Nair,17,2,3,3,4,1,1,HD,P,SP,P,P,P,MP,MP,SP,P,HD,P,MP,MP,P,HHD,P,P,A,P,P,A,P,NP,P,SP,P,P,P,P,HD
PD-0013,Aadhya Reddy,24,3,2,1,1,0,0,P,SP,P,P,P,P,P,P,P,MP,P,P,P,A,P,P,P,P,P,P,P,A,HD,P,P,P,HD,P,P,A,P
PD-0014,Ananya Iyer,20,3,3,3,1,0,1,P,MP,P,P,P,SP,HD,HD,P,P,P,P,A,P,P,P,P,HHD,P,P,P,A,P,HD,SP,P,P,SP,P,P,A
PD-0015,Pari Bose,18,1,4,2,3,3,0,NP,MP,NP,SP,MP,HD,P,P,P,P,P,P,P,P,P,NP,A,P,P,P,HD,HD,SP,P,MP,P,P,P,P,P,HD
PD-0016,Anika Khanna,19,2,3,3,1,2,1,HHD,P,P,NP,P,P,SP,MP,HD,NP,P,P,P,P,HD,P,P,P,HD,P,P,P,P,SP,A,A,P,P,P,SP,P
PD-0017,Navya Gupta,21,2,2,4,1,1,0,P,SP,SP,P,SP,HD,SP,P,P,P,P,P,P,P,P,P,P,HD,P,P,P,NP,P,P,P,P,A,P,MP,P,A
PD-0018,Sara Mehta,22,3,1,1,2,2,0,P,P,P,P,P,P,HD,P,P,P,P,P,NP,P,A,P,P,P,MP,P,P,MP,P,P,P,A,P,A,P,NP,SP
PD-0019,Myra Nair,22,2,3,2,2,0,0,P,P,P,P,P,P,P,P,P,P,P,HD,A,P,P,A,HD,SP,P,SP,MP,P,P,P,HD,P,P,P,MP,P,P
PD-0020,Kiara Reddy,23,1,1,2,2,2,0,P,MP,P,P,P,P,P,P,P,MP,NP,P,P,P,HD,P,NP,P,P,A,P,SP,P,P,SP,P,P,P,P,P,P
PD-0021,Aarav Iyer,20,4,1,1,3,2,0,HD,P,P,P,P,P,P,P,MP,P,P,A,NP,NP,P,P,P,P,P,P,A,A,MP,P,P,P,SP,P,P,A,MP
PD-0022,Vivaan Bose,21,2,5,1,2,0,0,HD,P,HD,P,HD,P,P,P,P,P,P,HD,SP,P,P,P,MP,P,P,P,P,A,P,P,P,P,P,MP,HD,P,A
PD-0023,Aditya Khanna,20,4,1,5,0,1,0,P,A,P,P,P,P,NP,SP,P,P,HD,P,P,A,P,P,SP,A,P,P,SP,A,SP,P,P,SP,P,P,P,P,P
PD-0024,Vihaan Malhotra,20,3,2,3,1,0,2,P,P,P,P,P,P,HHD,P,P,P,P,P,A,A,A,P,HD,SP,P,P,MP,SP,P,P,HHD,P,HD,P,SP,P,P
SS-0001,Gurnoor Singh,18,2,4,3,3,1,0,P,P,P,HD,P,P,HD,P,SP,P,P,P,HD,MP,P,NP,P,P,A,SP,SP,P,P,HD,P,P,P,MP,P,MP,A
SS-0002,Priya Sharma,18,3,1,2,5,1,1,NP,P,A,P,P,MP,P,MP,MP,A,SP,P,SP,HHD,P,MP,P,P,P,P,HD,P,P,P,P,A,MP,P,P,P,P
SS-0003,Anjali Verma,23,2,3,0,1,1,1,P,P,P,A,P,P,HD,P,P,HD,P,P,A,P,P,P,P,P,P,P,P,P,P,NP,P,P,HD,P,MP,P,HHD
SS-0004,Rajesh Kumar,23,1,2,3,2,0,0,P,MP,P,P,P,P,P,SP,P,P,P,A,P,P,P,P,P,P,P,P,P,HD,P,SP,SP,MP,P,P,P,P,HD
SS-0005,Rahul Gupta,19,3,1,3,2,1,2,MP,P,A,P,P,P,P,MP,P,NP,P,A,SP,P,SP,P,P,P,HHD,P,P,SP,HD,HHD,P,P,P,A,P,P,P
SS-0006,Neha Agarwal,17,2,5,1,3,2,1,P,A,NP,NP,P,P,P,P,P,P,HD,A,MP,SP,P,HD,MP,HD,P,P,HD,P,P,P,HD,P,P,P,HHD,P,MP
SS-0007,Vikram Mehta,26,3,1,0,1,0,0,P,P,P,P,P,P,P,P,P,A,P,P,P,MP,P,A,P,P,P,HD,P,P,P,P,P,P,P,P,P,P,A
